Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG
vb.ch;Valbercla;46.475.259;9.584.303;-2.45;2039.2;2500;31;Vb-ch-OTC-6;9;OTC;alpine grassland
vb.ch;Valbercla;46.475.259;9.584.303;-2.45;2039.2;2500;31;Vb-ch-OTC-8;10;OTC;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-18-XXW;4;OTC;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-21-XXW;7;OTC;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-22-XXX;6;C;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-24-XXX;5;C;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-33-XXX;1;C;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-38-XXW;2;OTC;alpine grassland
nr.us;Niwotridge;4.005.619.788;-105.589.602;-2.35;1095.5;3528;18;Nr-us-6-XXX;3;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B1;1;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B2-1;2;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B2-2;2;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B3;3;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B4-1;4;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B4-2;4;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B5-1;5;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-cont-B5-2;5;C;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B2;2;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B2-1-1yr;2;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B2-2-1yr;2;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B3;3;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B3-1-1yr;3;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B3-2-1yr;3;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B4;4;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B4-1-1yr;4;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B4-2-1yr;4;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B5;5;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B1;1;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B1-1-1yr;1;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B1-2-1yr;1;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B5-1-1yr;5;OTC;alpine grassland
Pga1;PassoGavia;463.404;104.986;-3.85;1572.4;2700;5;Pg-it-OTC-B5-2- 1yr;5;OTC;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-S1;1;C;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-S4;4;C;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-S5;5;C;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-S2;2;C;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-S3;3;C;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-S4;4;OTC;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-S5;5;OTC;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-S2;2;OTC;alpine grassland
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-S3;3;OTC;alpine grassland
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-12;12;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-23;23;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-28;28;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-29;29;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-38;38;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-40;40;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-46;46;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-49;49;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-6;6;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-cont-8;8;C;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-1;1;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-12;12;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-18;18;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-22;22;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-23;23;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-28;28;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-29;29;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-35;35;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-38;38;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-40;40;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-46;46;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-49;49;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-6;6;OTC;dry tundra
sv.no;Svalbard;785.304;16.307;-7.25;304.4;70;10;Sv-no-OTC-8;8;OTC;dry tundra
