Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG
ra.sp;Ratera;426.053;0.96021;0.15;1740.2;2560;8;Ra-sp-OTC-4-2;4;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-1-1;1;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-1-2;1;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-2-1;2;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-2-2;2;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-3-1;3;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-4-1;4;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-cont-4-2;4;C;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-1-1;1;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-1-2;1;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-2-2;2;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-3-1;3;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-3-2;3;OTC;snowbed
ul.sp;Ulldeter;4.241.926;224.756;0.65;1289.9;2400;6;Ul-sp-OTC-4-1;4;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P1;1;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P2;2;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P3;3;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P4;4;C;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P1;1;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P2;2;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-cont-P5;5;C;snowbed
Pga3;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-S1;1;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P3;3;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P4;4;OTC;snowbed
Pga2;PassoGavia;463.404;104.986;-3.85;1572.4;2700;17;Pg-it-OTC-P5;5;OTC;snowbed
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-OTC-BM;7;OTC;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-OTC-3M;5;OTC;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-OTC-4M;6;OTC;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-cont-3M;5;C;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-cont-4M;6;C;wet tundra
fn.th.no;Finnmark;6.929.630.745;253.685.004;-1.85;687.6;612;6;Fn-th-no-cont-BM;7;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T22AFO;2;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T22WFO;2;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T23AFO;3;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T23WFO;3;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T24AFO;4;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T24WFO;4;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T25AFO;5;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T25WFO;5;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T26AFO;6;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T26WFO;6;OTC;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T27AFO;7;C;wet tundra
yk.low;Yukon;61.43;-165.43;-1.35;743.5;70;3;Yk-lo-T27WFO;7;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-17;3;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-9;4;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-1;5;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-15;6;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-1;1;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-cont-13;2;C;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-9;8;OTC;wet tundra
aw.us;Atqasuk;7.045.303.348;-1.574.003.018;-10.65;260.7;17;29;Aw-us-OTC-5;7;OTC;wet tundra
