Ad_AdAd_cont_11	Ad_AdAd_cont_22	Ad_AdAd_cont_31	Ad_AdAd_cont_32_1	Ad_AdAd_cont_32_2	Ad_AdAd_cont_41	Ad_AdAd_OTC_11	Ad_AdAd_OTC_12	Ad_AdAd_OTC_21	Ad_AdAd_OTC_31	Ad_AdAd_OTC_32	Ad_AdAd_OTC_41	Ad_AdAd_OTC_42	c1	c2	c3	c4	c5	c6	c7	No_Sval_40_OTC	No_Sval_29_OTC	Us_1w_OTC_5_1	Us_1w_OTC_0901	Us_1w_OTC_171	Us_1w_OTC_09_1	Nr_38_XXW	Fi_Fi_No_C2_A1_1	Fi_Fi_No_C2_A1_2	Fi_Ki_1_K	Fi_Ki_1_OTC	Fi_Ki_2_Ki	Fi_Ki_3_OTC	Fi_Ki_4_OTC	Fi_Ki_4K	Fi_Ki_5_K	Fi_Ki_5_OTC	Fi_Ki_K3	Fi_Ki_OTC_2	Fr_Pc_cont_11	Fr_Pc_cont_31	Fr_Pc_cont_32	Fr_Pc_cont_41	Fr_Pc_cont_42	Fr_Pc_OT_3_1	Fr_Pc_OTC_11_1	Fr_Pc_OTC_11_2	Fr_Pc_OTC_21_1	Fr_Pc_OTC_21_2	Fr_Pc_OTC_32	Fr_Pc_OTC_41	Fr_Pc_OTC_42	Gl_3T1	Gl_C_61	Gl_C21_1	Gl_C31	Gl_Gl_T4_5	Gl_K05T_8	Gl_KOGl_C4_6	Gl_KOGl_C5_9	Gl_T21_2	I_A10_1	I_A10_2	I_A10_3	I_A10_4	I_A10_5	I_A10_6	I_A10_7	I_A10_8	I_A2_1	I_A2_2	I_A2_3	I_A2_4	I_A2_5	I_A2_6	I_A2_7	I_A2_8	I_A4_1	I_A4_2	I_A4_3	I_A4_4	I_A4_5	I_A4_6	I_A4_7	I_A4_8	I_A6_1	I_A6_2	I_A6_3	I_A6_4	I_A6_5	I_A6_6	I_A6_7	I_A6_8	I_A8_1	I_A8_2	I_A8_3	I_A8_4	I_A8_5	I_A8_6	I_A8_7	I_A8_8	I_C10_1	I_C10_2	I_C10_3	I_C10_4	I_C10_5	I_C10_6	I_C10_7	I_C10_8	I_C2_1	I_C2_2	I_C2_3	I_C2_4	I_C2_5	I_C2_6	I_C2_7	I_C2_8	I_C4_1	I_C4_2	I_C4_3	I_C4_4	I_C4_5	I_C4_6	I_C4_7	I_C4_8	I_C6_1	I_C6_2	I_C6_3	I_C6_4	I_C6_5	I_C6_6	I_C6_7	I_C6_8	I_C8_1	I_C8_2	I_C8_3	I_C8_4	I_C8_5	I_C8_6	I_C8_7	I_C8_8	I_D10_1	I_D2_1	I_D4_1	I_D6_1	I_D8_1	I_E10_2	I_E10_3	I_E10_4	I_E10_5	I_E10_6	I_E10_8	I_E2_2	I_E2_3	I_E2_4	I_E2_5	I_E2_6	I_E2_8	I_E4_2	I_E4_3	I_E4_4	I_E4_5	I_E4_6	I_E4_8	I_E6_2	I_E6_3	I_E6_4	I_E6_5	I_E6_6	I_E6_8	I_E8_2	I_E8_3	I_E8_4	I_E8_5	I_E8_6	I_E8_8	I_F10_1	I_F2_1	I_F4_1	I_F6_1	I_F8_1	I_G10_2	I_G10_3	I_G10_4	I_G10_5	I_G10_6	I_G10_8	I_G2_2	I_G2_3	I_G2_4	I_G2_5	I_G2_6	I_G2_8	I_G4_2	I_G4_3	I_G4_4	I_G4_5	I_G4_6	I_G4_8	I_G6_2	I_G6_3	I_G6_4	I_G6_5	I_G6_6	I_G6_8	I_G8_2	I_G8_3	I_G8_4	I_G8_5	I_G8_6	I_G8_8	It_Pg_B3C2	Negatif_1	Negatif_2	Negatif_3	Negatif_4	Negatif_5	Negatif_6	No_C_CSO_Finse_1	No_C10D_Finse_1_1	No_C10D_Finse_1_2	No_C6A_control_Finse	No_FC_control_C1A	No_Fi_No_OTC_02D	No_Fi_No_OTC_03A	No_Finse_OTC_04_B1	No_Finse_OTC_05B	No_Fn_Pa_1PC_1	No_Fn_Pa_3_PC_1	No_Fn_Pa_3P_OTC_1	No_Fn_Pa_4_Pc	No_Fn_Pa_BP_C1	No_Fn_Th_03_MC_1	No_Fn_Th_3M_OTC	No_Fn_Th_4_MC	No_Fn_Th_4M_OTC	No_Fn_Th_BM_OTC_1	No_Fr_No_C3D1	No_Fr_Pa_4P_OTC	No_Fr_Pa_BP_OTC_1	No_Fr_Th_BM_C1	No_OTC_010_C_Finse_1	NO_Sk_con_71	No_Sk_MC_OTC_34	No_Sk_No_cont_13	No_Sk_No_cont_36	No_Sk_No_cont_45	No_Sk_No_cont_62	No_Sk_No_cont_86	No_Sk_No_OTC_33	No_Sk_No_OTC_42	No_Sk_No_OTC_64	No_Sk_No_OTC_75	No_Sval_1_OTC	No_Sval_12_MIMO	No_Sval_12_OTC	No_Sval_22_MIMO	No_Sval_22_OTC	No_Sval_23_OTC	No_Sval_28_MIMO	No_Sval_28_OTC	No_Sval_29_MIMO	empty_46	No_Sval_35_OTC	No_Sval_38_MIMO	No_Sval_38_OTC	No_Sval_40_18_OTC	No_Sval_40_MIMO	empty_42	No_Sval_46_MIMO	No_Sval_46_OTC	No_Sval_49_MIMO	No_Sval_6_MIMO	No_Sval_6_OTC	No_Sval_8_MIMO	No_Sval_8_OTC	No_Sval_No_49_OTC	No_U_No_cont_76	No_Ui_C_551	No_Ui_No_C_24	No_Ui_No_C_34	No_Ui_No_cont_45	No_Ui_No_OTC_21	No_Ui_No_OTC_32	No_Ui_No_OTC_42	No_Ui_No_OTC_72	No_UI_OTC_131	No_Ui_OTC_521	No_Ui_OTC_641	empty_68	Sp_Ra_cont_11	Sp_Ra_cont_22	Sp_Ra_cont_32	Sp_Ra_OTC_11_1	Sp_Ra_OTC_11_2	Sp_Ra_OTC_2_1	Sp_Ra_OTC_22	Sp_Ra_OTC_31	Sp_Ra_Sp_cont_21	Sp_Ra_Sp_cont_41_1	Sp_Ra_Sp_cont_41_2	Sp_Ra_Sp_control_31	Sp_Ra_Sp_OTC_42	Sp_Ui_Sp_cont_12	Sp_Ui_Sp_cont_21	Sp_Ui_Sp_cont_22	Sp_Ui_Sp_cont_31	Sp_Ui_Sp_cont_41	Sp_Ui_Sp_cont_42	Sp_Ui_Sp_OTC_11	Sp_Ui_Sp_OTC_12	Sp_Ui_Sp_OTC_32	Sp_UI_Sp_OTC_41	Sp_Ui_Sp_OTC_C31	Sw_CLA_15A_AMBI	Sw_CLA_15A_OTC	Sw_CLA_15B_OTC	Sw_CLA_20B_OTC	Sw_CLA_P_5A_OTC	Sw_CLA_V_15B_AMBI	Sw_JAT_14_OTC_A	Sw_JAT_14_OTC_B	Sw_JAT_14A_AMBI	Sw_JAT_14B_AMBI	Sw_JAT_19_OTC_A	Sw_JAT_19A_AMBI	Sw_JAT_19B_AMBI	Sw_JAT_6_OTC_B	Sw_JAT_6A_AMBI	Sw_JAT_6A_OTC	Sw_JAT_6B_AMBI	Sw_Sw_Walo_12	Sw_Walo_10_32_WC	Sw_Walo_31_AC	Sw_Walo_44_AC	Sw_Walo_72_AC	Swi_Br_12_B_cont	Swi_Br_12_B_OTC	Swi_Br_12A_OTC	Swi_Br_21_A_cont	Swi_Br_21_OTC_B	Swi_Br_21B_cont	Swi_Br_7A_cont	Swi_Bru_7A_OTC	Swi_Bru_7B_OTC	Swi_CLA_20_A_cont	Swi_CLA_ALC_60_TCA	Swi_CLA_ALP_20B_cont	Swi_CLA_APL_cont	Swi_Swi_CLA_ALP_6B_OTC	Swi_Swi_Wahi_24_AC	Swi_Swi_Wahi_72_AC	Swi_Swi_Walo_43_WC	Swi_Swi_Walo_74_WC	Swi_Wahi_11_WC	Swi_Wahi_12_AC	Swi_Wahi_14_WC	Swi_Wahi_22_WC	Swi_Wahi_42_WC	Swi_Wahi_4AC	Swi_Wahi_54_WC	Swi_Walo_13_AC	Swi_Walo_63_WC	Ui_Ui_No_C621	Ui_Ui_Sp_cont_11_1	Ui_Ui_Sp_cont_11_2	Ui_Ui_Sp_OTC_22	Us_1W_CTL_13_1	empty_64	empty_56	Us_1w_OTC_11_R	Us_1w_OTC_11	Us_1w_OTC_15_1	empty_60	empty_51	Us_Nr_16_PXX	Us_Nr_17_xNr	Us_Nr_18_XXW	Us_Nr_21_XXW	Us_Nr_24_XXX	Us_Nr_26_PXX	Us_Nr_31_PXX	Us_Nr_33_XXY	Us_Nr_35_XNX	Us_Nr_41_PXX	Us_Nr_46_PXX	Us_Nr_7x_Nx	Us_Nr6_XXX	Us_Us_Nr_22_XXX	Us_Us_Nr_37_XXX	Us_Us_Nr_5_XNW	Ut_10w_25_AFO	Ut_10w_26_AFO	Ut_23_AFO_Low	Ut_Low_22_AFO	Ut_Low_23_AFO	Ut_Low_25_WFO	Ut_Low_26_WFO	Ut_Low_27_AFO	Ut_Low_27_WFO	Ut_Low_T_24_WFO	Ut_Low_T22_WFO	Ut_Low_T24_AFO	empty_73	Ut_UPT_45_WFO	Ut_UPT_47_AFO	Ut_UPT_47_WFO	Ut_Ut_UPT_42_AFO_1	Ut_Ut_UPT_42_AFO_2	Ut_Ut_UPT_42_WFO	Ut_UT_UPT_43_WFO	Ut_Ut_UPT_44_WFO	Ut_Ut_UPT_45_AFO	Ut_Ut_UPT_46_AFO	Ut_Ut_UPT_46_WFO	Zwi_Val_6_0_11_OTC_1	Zwi_Val_B_011_OTC_1	Zwi_Val_B_02l_OTC_2	Zwi_Val_B_041_OTC_4	Zwi_Val_B_C_81C8	Zwi_Val_B_C11_C1	Zwi_Val_B_C24_C2	Zwi_Val_B_C4_1C4	Zwi_Val_B_C6	Zwi_Val_B_D_81_OTC_8	Zwi_Val_B0616_OTC
ASV_4467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	9	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
