Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length
Ad-ad-cont-2-2;Andorra;And1;2;A;Control;YES;NO;729,41;270,29;999,7
Ad-ad-cont-2-2;Andorra;And1;2;B;Control;YES;NO;485,66;300,65;786,31
Ad-ad-cont-3-1;Andorra;And1;1;A;Control;YES;NO;657,7;682,86;1340,55
Ad-ad-cont-3-1;Andorra;And1;1;B;Control;YES;NO;652,48;641,54;1294,02
Ad-ad-cont-3-2;Andorra;And1;2;A;Control;YES;NO;189,75;286,56;476,31
Ad-ad-cont-3-2;Andorra;And1;2;B;Control;YES;NO;555,78;450,84;1006,61
Ad-ad-cont-4-1;Andorra;And1;1;A;Control;YES;NO;415,21;256,67;671,88
Ad-ad-cont-4-1;Andorra;And1;1;B;Control;YES;NO;201,7;205,58;407,28
Ad-ad-OTC-1-1;Andorra;And1;1;A;OTC;YES;NO;1537,17;1657,57;3194,74
Ad-ad-OTC-1-1;Andorra;And1;1;B;OTC;YES;NO;1256,65;840,48;2097,13
Ad-ad-OTC-1-2;Andorra;And1;2;A;OTC;YES;NO;350,12;1408,1;1758,22
Ad-ad-OTC-1-2;Andorra;And1;2;B;OTC;YES;NO;37,85;2157,57;2195,42
Ad-ad-OTC-2-1;Andorra;And1;1;A;OTC;YES;NO;406,44;1196,3;1602,74
Ad-ad-OTC-2-1;Andorra;And1;1;B;OTC;YES;NO;198,66;846,15;1044,81
Ad-ad-OTC-3-1;Andorra;And1;1;A;OTC;YES;NO;44,73;216,18;260,91
Ad-ad-OTC-3-1;Andorra;And1;1;B;OTC;YES;NO;129,31;221,67;350,98
Ad-ad-OTC-3-2;Andorra;And1;2;A;OTC;YES;NO;589,88;495,95;1085,82
Ad-ad-OTC-3-2;Andorra;And1;2;B;OTC;YES;NO;595,79;490,87;1086,66
Ad-ad-OTC-4-1;Andorra;And1;1;A;OTC;YES;NO;449,35;1568,64;2017,99
Ad-ad-OTC-4-1;Andorra;And1;1;B;OTC;YES;NO;770,35;1647,92;2418,28
Ad-ad-OTC-4-2;Andorra;And1;2;A;OTC;YES;NO;432,75;1144,23;1576,99
Ad-ad-OTC-4-2;Andorra;And1;2;B;OTC;YES;NO;770,47;243,11;1013,58
Aw-us-cont-1;Atqasuk;Atq1;1;A;Control;YES;NO;132,61;68,32;200,93
Aw-us-cont-1;Atqasuk;Atq1;1;B;Control;YES;NO;0;0;0
Aw-us-cont-13;Atqasuk;Atq1;1;A;Control;YES;NO;36,9;69,71;106,61
Aw-us-cont-13;Atqasuk;Atq1;1;B;Control;YES;NO;13,92;37,12;51,05
Aw-us-cont-17;Atqasuk;Atq1;1;A;Control;YES;NO;87,67;87,67;175,34
Aw-us-cont-17;Atqasuk;Atq1;1;B;Control;YES;NO;98,28;40,04;138,32
Aw-us-cont-9;Atqasuk;Atq1;1;A;Control;YES;NO;81,56;19,42;100,97
Aw-us-cont-9;Atqasuk;Atq1;1;B;Control;YES;NO;14,76;29,51;44,27
Aw-us-OTC-1;Atqasuk;Atq1;1;A;OTC;YES;NO;186,83;171,58;358,4
Aw-us-OTC-1;Atqasuk;Atq1;1;B;OTC;YES;NO;155,81;159,7;315,51
Aw-us-OTC-15;Atqasuk;Atq1;1;A;OTC;YES;NO;114,17;81,02;195,19
Aw-us-OTC-15;Atqasuk;Atq1;1;B;OTC;YES;NO;62,7;176,36;239,06
Aw-us-OTC-5;Atqasuk;Atq1;1;A;OTC;YES;NO;43,65;65,47;109,12
Aw-us-OTC-5;Atqasuk;Atq1;1;B;OTC;YES;NO;0;29,58;29,58
Aw-us-OTC-9;Atqasuk;Atq1;1;A;OTC;YES;NO;82,83;64,01;146,84
Aw-us-OTC-9;Atqasuk;Atq1;1;B;OTC;YES;NO;78,92;60,13;139,05
Fi-no-cont-10D;Finse;Fins1;1;A;Control;YES;NO;988,07;43,2;1031,27
Fi-no-cont-10D;Finse;Fins1;1;B;Control;YES;NO;613,2;8,23;621,43
Fi-no-cont-1A;Finse;Fins1;1;A;Control;YES;NO;356,65;503,96;860,61
Fi-no-cont-1A;Finse;Fins1;1;B;Control;YES;NO;917,69;149,83;1067,51
Fi-no-cont-2A;Finse;Fins1;1;A;Control;YES;NO;332,38;414,39;746,77
Fi-no-cont-2A;Finse;Fins1;1;B;Control;YES;NO;75,28;392,26;467,54
Fi-no-cont-3D;Finse;Fins1;1;A;Control;YES;NO;772,97;729,59;1502,56
Fi-no-cont-3D;Finse;Fins1;1;B;Control;YES;NO;522,06;567,63;1089,69
Fi-no-cont-5D;Finse;Fins1;1;A;Control;YES;NO;412,29;56,4;468,69
Fi-no-cont-5D;Finse;Fins1;1;B;Control;YES;NO;271,27;336,23;607,5
Fi-no-cont-6A;Finse;Fins1;1;A;Control;YES;NO;1100,27;220,05;1320,32
Fi-no-cont-6A;Finse;Fins1;1;B;Control;YES;NO;1919,71;672,85;2592,56
Fi-no-OTC-10C;Finse;Fins1;1;A;OTC;YES;NO;160,66;7432,46;7593,12
Fi-no-OTC-10C;Finse;Fins1;1;B;OTC;YES;NO;172,14;5561,91;5734,05
Fi-no-OTC-2D;Finse;Fins1;1;A;OTC;YES;NO;409,75;1064,51;1474,27
Fi-no-OTC-2D;Finse;Fins1;1;B;OTC;YES;NO;173,94;395,71;569,65
Fi-no-OTC-3A;Finse;Fins1;1;A;OTC;YES;NO;779,45;431,75;1211,2
