"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_42" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"ASV_43" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Microdochiaceae" "g__Microdochium" "s__lycopodinum"
"ASV_44" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__basiparvispora"
"ASV_45" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Inocybaceae" "g__Inocybe" "s__striipes"
"ASV_46" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" "s__hyalina"
"ASV_47" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" NA
"ASV_48" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Gyoerffyella" NA
"ASV_49" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" "s__victoriae"
"ASV_50" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Trimorphomycetaceae" "g__Saitozyma" "s__podzolica"
"ASV_51" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellaceae" "g__Tremella" "s__diploschistina"
"ASV_52" "k__Fungi" "p__Ascomycota" "c__Ascomycota_cls_Incertae_sedis" "o__Ascomycota_ord_Incertae_sedis" "f__Ascomycota_fam_Incertae_sedis" "g__Goidanichiella" "s__barronii"
"ASV_53" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__lapida"
"ASV_54" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Sporocadaceae" "g__Truncatella" "s__angustata"
"ASV_55" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Inocybaceae" "g__Inocybe" NA
"ASV_56" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizaceae" "g__Peziza" "s__depressa"
"ASV_57" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Rhizophydiales_fam_Incertae_sedis" "g__Rhizophydiales_gen_Incertae_sedis" NA
"ASV_58" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pyronemataceae" "g__Trichophaea" "s__dougoudii"
"ASV_59" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Massarinaceae" "g__Stagonospora" "s__pseudovitensis"
"ASV_60" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Pseudotomentella" NA
"ASV_61" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Saccharomycetales_fam_Incertae_sedis" "g__Candida" "s__sake"
"ASV_62" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Serendipitaceae" "g__Serendipita" NA
"ASV_63" "k__Fungi" NA NA NA NA NA NA
"ASV_64" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__angusta"
"ASV_65" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" "g__Ramularia" "s__hydrangeae-macrophyllae"
"ASV_66" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__badia"
"ASV_67" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pyrenochaetopsidaceae" "g__Pyrenochaetopsis" "s__tabarestanensis"
"ASV_68" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__badia"
"ASV_69" "k__Fungi" "p__Basidiomycota" "c__Cystobasidiomycetes" "o__Cystobasidiales" "f__Cystobasidiaceae" "g__Cystobasidium" "s__slooffiae"
"ASV_70" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Leotiomycetes_ord_Incertae_sedis" "f__Leotiomycetes_fam_Incertae_sedis" "g__Gorgomyces" NA
"ASV_71" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__basiparvispora"
