"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_1144" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_1145" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Actinomortierella" "s__capitata"
"ASV_1146" "k__Fungi" NA NA NA NA NA NA
"ASV_1147" "k__Fungi" NA NA NA NA NA NA
"ASV_1148" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Anthracoideaceae" "g__Schizonella" "s__caricis-atratae"
"ASV_1149" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1150" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Filobasidiaceae" "g__Heterocephalacria" "s__arrabidensis"
"ASV_1151" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Trechisporales" "f__Trechisporales_fam_Incertae_sedis" "g__Trechisporales_gen_Incertae_sedis" NA
"ASV_1152" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Nothodactylariaceae" "g__Nothodactylaria" NA
"ASV_1153" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Sclerostagonospora" NA
"ASV_1154" "k__Fungi" NA NA NA NA NA NA
"ASV_1155" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Ostropales" "f__Ostropales_fam_Incertae_sedis" "g__Ostropales_gen_Incertae_sedis" NA
"ASV_1156" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Anthracoideaceae" "g__Schizonella" "s__caricis-atratae"
"ASV_1157" "k__Fungi" NA NA NA NA NA NA
"ASV_1158" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Sporormiaceae" NA NA
"ASV_1159" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1160" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" NA NA NA NA
"ASV_1161" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Phaeotremellaceae" "g__Phaeotremella" NA
"ASV_1162" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"ASV_1163" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Chaetosphaeriales" "f__Chaetosphaeriaceae" "g__Chloridium" "s__aseptatum"
"ASV_1164" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1165" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Cyathicula" NA
"ASV_1166" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Microbotryomycetes_ord_Incertae_sedis" "f__Microbotryomycetes_fam_Incertae_sedis" "g__Microbotryomycetes_gen_Incertae_sedis" NA
"ASV_1167" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Myrmecridiales" "f__Myrmecridiaceae" "g__Myrmecridium" "s__banksiae"
"ASV_1168" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1169" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierellaceae_gen_Incertae_sedis" NA
"ASV_1170" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Simplicillium" "s__aogashimaense"
"ASV_1171" "k__Fungi" "p__Chytridiomycota" "c__Spizellomycetes" "o__Spizellomycetales" "f__Spizellomycetales_fam_Incertae_sedis" "g__Spizellomycetales_gen_Incertae_sedis" NA
"ASV_1172" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleraceae" "g__Genolevuria" NA
"ASV_1173" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetaceae" "g__Archaeorhizomyces" NA
"ASV_1174" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1175" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" NA
"ASV_1176" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Kriegeriales" "f__Kriegeriaceae" "g__Phenoliferia" "s__psychrophenolica"
"ASV_1177" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" NA NA
"ASV_1178" "k__Fungi" NA NA NA NA NA NA
"ASV_1179" "k__Fungi" "p__Basidiomycota" NA NA NA NA NA
"ASV_1180" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Trichocomaceae" "g__Talaromyces" "s__albobiverticillius"
"ASV_1181" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" NA NA
"ASV_1182" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Dioszegia" NA
"ASV_1183" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Gyoerffyella" NA
"ASV_1184" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Solicoccozyma" "s__terricola"
"ASV_1185" "k__Fungi" NA NA NA NA NA NA
"ASV_1186" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1187" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" NA NA
"ASV_1188" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Rhizoctonia" "s__fusispora"
"ASV_1189" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__lapida"
"ASV_1190" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Dothideales" "f__Dothideaceae" "g__Dothiora" NA
"ASV_1191" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Pseudopithomyces" "s__chartarum"
"ASV_1192" "k__Fungi" "p__Glomeromycota" "c__Glomeromycota_cls_Incertae_sedis" "o__Glomeromycota_ord_Incertae_sedis" "f__Glomeromycota_fam_Incertae_sedis" "g__Glomeromycota_gen_Incertae_sedis" NA
"ASV_1193" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Psathyrellaceae" "g__Coprinopsis" "s__stercorea"
"ASV_1194" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Amphosoma" "s__persooniae"
"ASV_1195" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__macrocystis"
"ASV_1196" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Lecanorales" "f__Ramalinaceae" "g__Bacidina" "s__lignicola"
"ASV_1197" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Sebacinaceae" "g__Sebacinaceae_gen_Incertae_sedis" NA
"ASV_1198" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellales_fam_Incertae_sedis" "g__Tremellales_gen_Incertae_sedis" NA
"ASV_1199" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Trechisporales" NA NA NA
"ASV_1200" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" NA NA NA
"ASV_1201" "k__Fungi" NA NA NA NA NA NA
"ASV_1202" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Leptosphaeriaceae" "g__Plenodomus" NA
"ASV_1203" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Didymella" "s__glomerata"
"ASV_1204" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1205" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" "g__Septoria" "s__lactucae"
"ASV_1206" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetaceae" "g__Archaeorhizomyces" NA
"ASV_1207" "k__Fungi" NA NA NA NA NA NA
"ASV_1208" "k__Fungi" NA NA NA NA NA NA
"ASV_1209" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Venturiales" "f__Venturiaceae" "g__Venturia" NA
"ASV_1210" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetales_fam_Incertae_sedis" "g__Archaeorhizomycetales_gen_Incertae_sedis" NA
"ASV_1211" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Calophoma" "s__sandfjordenica"
"ASV_1212" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierellaceae_gen_Incertae_sedis" NA
"ASV_1213" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Sebacinaceae" "g__Sebacina" NA
"ASV_1214" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1215" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Phacidiales" "f__Phacidiaceae" NA NA
"ASV_1216" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Ploettnerulaceae" "g__Cadophora" NA
"ASV_1217" "k__Fungi" "p__Olpidiomycota" "c__GS18" "o__GS18_ord_Incertae_sedis" "f__GS18_fam_Incertae_sedis" "g__GS18_gen_Incertae_sedis" NA
"ASV_1218" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Pezoloma" "s__ericae"
"ASV_1219" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__turficola"
"ASV_1220" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1221" "k__Fungi" NA NA NA NA NA NA
"ASV_1222" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV_1223" "k__Fungi" "p__Basidiomycota" NA NA NA NA NA
"ASV_1224" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Clavidisculum" "s__karstenii"
"ASV_1225" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Chaetosphaeronema" "s__achilleae"
"ASV_1226" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Atheliales" "f__Byssocorticiaceae" "g__Byssocorticium" NA
"ASV_1227" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1228" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Inocybaceae" "g__Inocybe" "s__cincinnata"
"ASV_1229" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__antarctica"
"ASV_1230" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Phacidiales" "f__Phacidiaceae" "g__Allantophomopsiella" "s__pseudotsugae"
"ASV_1231" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Dactylidina" "s__shoemakeri"
"ASV_1232" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_1233" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellaceae" "g__Tremella" "s__subalpina"
"ASV_1234" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" NA
"ASV_1235" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__amaliae"
"ASV_1236" "k__Fungi" NA NA NA NA NA NA
"ASV_1237" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Ilyonectria" "s__mors-panacis"
"ASV_1238" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Alfaria" "s__terrestris"
"ASV_1239" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetaceae" "g__Archaeorhizomyces" NA
"ASV_1240" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Phacidiales" "f__Phacidiales_fam_Incertae_sedis" "g__Phacidiales_gen_Incertae_sedis" NA
"ASV_1241" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Microbotryomycetes_ord_Incertae_sedis" "f__Microbotryomycetes_fam_Incertae_sedis" "g__Curvibasidium" NA
"ASV_1242" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Orbiliaceae_gen_Incertae_sedis" NA
"ASV_1243" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS11" "f__GS11_fam_Incertae_sedis" "g__GS11_gen_Incertae_sedis" NA
"ASV_1244" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__nygamai"
"ASV_1245" "k__Fungi" NA NA NA NA NA NA
"ASV_1246" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Pseudoophiobolus" "s__pseudoitalicus"
"ASV_1247" "k__Fungi" NA NA NA NA NA NA
"ASV_1248" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"ASV_1249" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Podosporaceae" "g__Podospora" NA
"ASV_1250" "k__Fungi" "p__Kickxellomycota" "c__Kickxellomycetes" "o__Kickxellales" "f__Kickxellaceae" "g__Spiromyces" NA
"ASV_1251" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__brasilianum"
"ASV_1252" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Russulales" "f__Russulaceae" "g__Russula" "s__griseascens"
"ASV_1253" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" NA NA
"ASV_1254" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Didymella" "s__glomerata"
"ASV_1255" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1256" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1257" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__alliacea"
"ASV_1258" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" NA NA
"ASV_1259" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Neosetophoma" NA
"ASV_1260" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Cladophialophora" "s__minutissima"
"ASV_1261" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_1262" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" NA NA NA NA
"ASV_1263" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1264" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__angulare"
"ASV_1265" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Samsoniella" "s__hepiali"
"ASV_1266" "k__Fungi" NA NA NA NA NA NA
"ASV_1267" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" NA NA
"ASV_1268" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Lecophagus" "s__longisporus"
"ASV_1269" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1270" "k__Fungi" NA NA NA NA NA NA
"ASV_1271" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Pezoloma" "s__ericae"
"ASV_1272" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" NA NA
"ASV_1273" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Sporormiaceae" "g__Preussia" NA
"ASV_1274" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Melanommataceae" NA NA
"ASV_1275" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Phaeotremellaceae" "g__Phaeotremella" "s__skinneri"
"ASV_1276" "k__Fungi" "p__Ascomycota" "c__Arthoniomycetes" "o__Lichenostigmatales" "f__Phaeococcomycetaceae" "g__Phaeococcomyces" "s__kinklidomatophilus"
"ASV_1277" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" NA
"ASV_1278" "k__Fungi" "p__Entorrhizomycota" "c__Entorrhizomycetes" "o__Entorrhizales" "f__Entorrhizaceae" "g__Entorrhiza" NA
"ASV_1279" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Cortinariaceae" "g__Cortinarius" "s__armillatus"
"ASV_1280" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Serendipitaceae" "g__Serendipita" NA
"ASV_1281" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV_1282" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Sclerotiniaceae" "g__Botrytis" "s__cinerea"
"ASV_1283" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Agaricales_fam_Incertae_sedis" "g__Clitocybe" NA
"ASV_1284" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Rhytismatales" "f__Rhytismatales_fam_Incertae_sedis" "g__Mycosymbioces" "s__mycenophila"
"ASV_1285" "k__Fungi" NA NA NA NA NA NA
"ASV_1286" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Alfaria" "s__junci"
"ASV_1287" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Calophoma" "s__humuli"
"ASV_1288" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Ceratobasidiaceae_gen_Incertae_sedis" NA
"ASV_1289" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" "f__Mrakiaceae" "g__Itersonilia" "s__pannonica"
"ASV_1290" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" NA
"ASV_1291" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Piskurozyma" NA
"ASV_1292" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" NA NA
"ASV_1293" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Lachnaceae" "g__Lachnellula" "s__fuscosanguinea"
"ASV_1294" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Ceratobasidium" NA
"ASV_1295" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetales_fam_Incertae_sedis" "g__Archaeorhizomycetales_gen_Incertae_sedis" NA
"ASV_1296" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Microthyriales" "f__Microthyriales_fam_Incertae_sedis" "g__Microthyriales_gen_Incertae_sedis" NA
"ASV_1297" "k__Fungi" NA NA NA NA NA NA
"ASV_1298" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Sclerotiniaceae" "g__Zoellneria" "s__rosarum"
"ASV_1299" "k__Fungi" NA NA NA NA NA NA
"ASV_1300" "k__Fungi" NA NA NA NA NA NA
"ASV_1301" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Tetracladium" NA
"ASV_1302" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" "g__Humicola" "s__nigrescens"
"ASV_1303" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Mollisiaceae" "g__Phialocephala" "s__fortinii"
"ASV_1304" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Lachnaceae" "g__Lachnellula" "s__fuscosanguinea"
"ASV_1305" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Leptosphaeriaceae" "g__Leptosphaeria" NA
"ASV_1306" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Tetracladium" NA
"ASV_1307" "k__Fungi" NA NA NA NA NA NA
"ASV_1308" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV_1309" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Kiflimonium" NA
"ASV_1310" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__globalpina"
"ASV_1311" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1312" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Cladophialophora" "s__humicola"
"ASV_1313" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Serendipitaceae" "g__Serendipita" "s__herbamans"
"ASV_1314" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Bulleribasidiaceae_gen_Incertae_sedis" NA
"ASV_1315" "k__Fungi" NA NA NA NA NA NA
"ASV_1316" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1317" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleraceae" "g__Genolevuria" NA
"ASV_1318" "k__Fungi" "p__Glomeromycota" "c__Glomeromycota_cls_Incertae_sedis" "o__Glomeromycota_ord_Incertae_sedis" "f__Glomeromycota_fam_Incertae_sedis" "g__Glomeromycota_gen_Incertae_sedis" NA
"ASV_1319" "k__Fungi" NA NA NA NA NA NA
"ASV_1320" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"ASV_1321" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Cuniculitremaceae" "g__Kockovaella" NA
"ASV_1322" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Pezizellaceae" "g__Microscypha" NA
"ASV_1323" "k__Fungi" "p__Basidiomycota" "c__Exobasidiomycetes" NA NA NA NA
"ASV_1324" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Thelebolales" "f__Pseudeurotiaceae" "g__Pseudogymnoascus" NA
"ASV_1325" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_1326" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Sclerotiniaceae" "g__Zoellneria" "s__rosarum"
"ASV_1327" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Neptunomyces" "s__aureus"
"ASV_1328" "k__Fungi" NA NA NA NA NA NA
"ASV_1329" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Lachnaceae" "g__Lachnellula" NA
"ASV_1330" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"ASV_1331" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" NA NA
"ASV_1332" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Apiosporaceae" "g__Arthrinium" "s__crenatum"
"ASV_1333" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Trimorphomycetaceae" "g__Saitozyma" NA
"ASV_1334" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_1335" "k__Fungi" "p__Mucoromycota" "c__Umbelopsidomycetes" "o__Umbelopsidomycetes_ord_Incertae_sedis" "f__Umbelopsidomycetes_fam_Incertae_sedis" "g__Umbelopsidomycetes_gen_Incertae_sedis" NA
