GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Gilbertella	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Poitrasia	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Absidia	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Chlamydoabsidia	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Cunninghamella	soil_saprotroph	NA	NA	NA	NA	soil	mold	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Gongronella	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Halteromyces	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Hesseltinella	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Lentamyces	mycoparasite	fungal_decomposer	NA	NA	NA	fungal_material	mold	animal_endosymbiont	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Siepmannia	mycoparasite	fungal_decomposer	NA	NA	NA	fungal_material	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Circinella	soil_saprotroph	dung_saprotroph	NA	NA	NA	soil,dung	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Dichotomocladium	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fennellomyces	soil_saprotroph	dung_saprotroph	NA	NA	NA	soil,dung	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Lichtheimia	soil_saprotroph	NA	NA	NA	NA	soil	mold	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Phascolomyces	soil_saprotroph	dung_saprotroph	NA	NA	NA	soil,dung	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
