GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Pycnocarpon	epiphyte	litter_saprotroph	NA	foliar_endophyte	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)	closed	NA	NA	NA	NA
Neobueliella	lichen_parasite	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth	NA	NA	NA	NA
Neocochlearomyces	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	Chromolaena	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Anthodidymella	wood_saprotroph	NA	NA	NA	NA	wood,leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Aquimassariosphaeria	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neolindgomyces	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Crassiperidium	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Aquihelicascus	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paratrimmatostroma	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Arezzomyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Dlhawksworthia	wood_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Hydeomyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Piniphoma	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pleohelicoon	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	Fagus	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Typhicola	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	Typha	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Rubroshiraia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	bamboo	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Anthosulcatispora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Liua	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Discotubeufia	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	Brownea	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Acantharia	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Clavidisculum	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Heterotruncatella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Neoleptosporella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Furfurella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Capillaureum	plant_pathogen	wood_saprotroph	NA	NA	wood_pathogen	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Chrysomorbus	plant_pathogen	wood_saprotroph	NA	NA	wood_pathogen	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Eriocamporesia	plant_pathogen	wood_saprotroph	NA	NA	wood_pathogen	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Neomelanconiella	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	Combretum	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Neomyrmecridium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Xenodactylaria	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudodiplococcium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Adustochaete	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	corticioid	hydnoid	NA	NA	NA	NA
Metulochaete	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	corticioid	hydnoid	NA	NA	NA	NA
Proterochaete	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	corticioid	other	NA	NA	NA	NA
Psilochaete	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	tremelloid	smooth	NA	NA	NA	NA
Pekloderma	wood_saprotroph	ericoid_mycorrhizal	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	corticioid	smooth	NA	NA	NA	NA
Geesterania	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	polyporoid	poroid	NA	NA	NA	NA
Staurospora	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	trentepohlioid	NA
Galbinothrix	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	chlorococcoid	NA
Amylogalla	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	NA	apothecium_(hymenium_on_surface)	smooth	NA	NA	NA	NA
Craspedodidymella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Crousobrauniella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	Shorea	NA	NA	NA	NA	NA	NA	NA
Hyalodermella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saania	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	NA	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Vizellopsidites	plant_pathogen	NA	NA	NA	unspecified_plant_pathogen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asterostomella	plant_pathogen	foliar_endophyte	NA	foliar_endophyte	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Mycosphaerellopsis	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Planistroma	litter_saprotroph	wood_saprotroph	NA	NA	NA	wood,leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Aeminium	sooty_mold	litter_saprotroph	NA	NA	NA	leaf_fruit_seed,sugar-rich_substrates	mold	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Globoramichloridium	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Paradevriesia	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Ceratosperma	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Plurivorosphaerella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Nowamyces	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	Eucalyptus_	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Lawreya	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Xenodevriesia	plant_pathogen	NA	NA	NA	unspecified_plant_pathogen	NA	NA	NA	Strelitzia	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Neocelosporium	NA	NA	NA	NA	NA	NA	NA	NA	Eucalyptus_	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudoconlarium	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neoparodia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	Trema	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Araneomyces	litter_saprotroph	NA	NA	no_endophytic_capacity	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Lichenopeltella	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pachythyrium	mycoparasite	fungal_decomposer	NA	NA	NA	fungal_material	NA	NA	Diatrypaceae	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Trichothyrium	unspecified_saprotroph	mycoparasite	NA	NA	NA	fungal_material	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Eremithallus	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	trentepohlioid	NA
Neojahnula	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudojahnula	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neomycoleptodiscus	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	Gyranthera	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudopalawania	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Setoapiospora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Posidoniomyces	root_endophyte	NA	NA	root_endophyte_dark_septate	NA	NA	NA	NA	Posidonia	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Alfoldia	root_endophyte	NA	NA	root_endophyte	NA	NA	NA	NA	Juniperus	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Amorocoelophoma	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Purplema	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Quercicola	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	Quercus	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Xenoastrosphaeriella	unspecified_saprotroph	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Corylicola	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Leucaenicola	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Corynesporasca	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	Caryota	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Synfenestella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudoconiothyrium	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Sphaeronaema	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Vandijckomycella	soil_saprotroph	NA	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Chromolaenicola	wood_saprotroph	litter_saprotroph	NA	NA	NA	wood,leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neptunomyces	NA	NA	NA	NA	NA	NA	NA	NA	algae	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudodidymocyrtis	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Triseptata	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudomurilentithecium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Ochraceocephala	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudoleptosphaeria	plant_pathogen	wood_saprotroph	NA	NA	wood_pathogen	wood	NA	NA	Populus	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Sclerenchymomyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Ligninsphaeriopsis	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Submerspora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Kiskunsagia	root_endophyte	NA	NA	root_endophyte	NA	roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paramassaria	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Neohelicascus	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neomedicopsis	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudohelminthosporium	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Brunneofusispora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Lonicericola	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Paramonodictys	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paralophiostoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pleopunctum	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Amarenomyces	unspecified_saprotroph	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Bhagirathimyces	unspecified_saprotroph	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Brunneomurispora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Hydeopsis	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Jeremyomyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Kwanghwana	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Murichromolaenicola	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neoophiobolus	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neostagonosporella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Paraleptospora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paraloratospora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeoseptoriella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudoophiosphaerella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudostaurosphaeria	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Wingfieldomyces	litter_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Vittaliana	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	Avicennia	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudoastrosphaeriellopsis	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudomassarina	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenopyrenochaetopsis	litter_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudoroussoella	wood_saprotroph	NA	NA	NA	NA	wood,leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Setoarthopyrenia	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenoroussoella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Longicorpus	unspecified_saprotroph	NA	NA	NA	NA	NA	NA	NA	Arecaceae	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Striatiguttula	unspecified_saprotroph	NA	NA	NA	NA	NA	NA	NA	Arecaceae	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Parasulcatispora	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Halotestudina	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Chromolaenomyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudothyridariella	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Dichoporis	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Phyllocharis	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Phyllocraterina	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Phylloporis	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Puiggariella	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Raciborskiella	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Racoplaca	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Serusiauxiella	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Swinscowia	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	NA	NA	NA	NA	NA	NA
Tenuitholiascus	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	trentepohlioid	Phycopeltis
Pseudobogoriella	lichenized	wood_saprotroph	lichenized_loosely	NA	NA	wood	NA	NA	NA	thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Schummia	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Camporesiomyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Kevinhydea	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Bellamyces	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fuscohilum	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Helicopsis	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Neofusicladium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Parafusicladium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pinaceicola	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Sterila	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Dimerosporiopsis	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fagicola	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fraxinicola	litter_saprotroph	foliar_endophyte	NA	foliar_endophyte	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Laeviomyces	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ajellomyces	animal_parasite	NA	NA	NA	NA	NA	NA	animal_parasite_opportunistic_human_parasite	NA	dimorphic_yeast	NA	NA	NA	NA	NA	NA
Emydomyces	animal_parasite	animal_decomposer	NA	NA	NA	animal_material	keratinolytic	vertebrate_parasite	NA	NA	NA	NA	NA	NA	NA	NA
Pseudosclerococcum	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth	NA	NA	NA	NA
Bordea	animal_parasite	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	NA	arthropod_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Thaxterimyces	animal_parasite	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	NA	arthropod_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Burrowsia	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	chlorococcoid	NA
Allographa	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	trentepohlioid	NA
Cryptoschizotrema	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	trentepohlioid	NA
Pulchrocladia	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	chlorococcoid	NA
Myochroidea	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	chlorococcoid	NA
Neoprotoparmelia	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	chlorococcoid	NA
Namibialina	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	chlorococcoid	NA
Jocatoa	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	NA	NA	trentepohlioid	NA
Neofitzroyomyces	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	Nerium	filamentous_mycelium	NA	NA	NA	NA	NA	NA
