Label;Shrub;Deciduous_shrub;Evergreen_shrub;Forb;Forb_nonNfix;Forb_Nfix;Graminoid;Grass;Sedge;Rush;Bryophyte;Lichen;Bare_Rock_Litter
Sv-no-OTC-29;0.403225806;0.403225806;0;0.306451613;NA;NA;0.024193548;0;0;0.024193548;0.161290323;0.080645161;0.024193548
Sv-no-OTC-35;0.081967213;0.081967213;0;0.229508197;NA;NA;0.032786885;0;0;0.032786885;0.532786885;0.081967213;0.040983607
Sv-no-OTC-38;0.129310345;0.129310345;0;0.336206897;NA;NA;0.017241379;0;0.00862069;0.00862069;0.25862069;0.086206897;0.172413793
Sv-no-OTC-40;0.236220472;0.236220472;0;0.354330709;NA;NA;0.070866142;0;0.007874016;0.062992126;0.275590551;0.039370079;0.023622047
Sv-no-OTC-46;0.056603774;0.056603774;0;0.29245283;NA;NA;0.037735849;0;0.037735849;0;0.377358491;0.047169811;0.188679245
Sv-no-OTC-49;0.304761905;0.142857143;0.161904762;0.104761905;NA;NA;0.019047619;0;0.00952381;0.00952381;0.285714286;0.142857143;0.142857143
Sv-no-OTC-6;0.272727273;0.090909091;0.181818182;0.081818182;NA;NA;0.009090909;0;0.009090909;0;0.181818182;0.181818182;0.272727273
Sv-no-OTC-8;0.23364486;0.23364486;0;0.14953271;NA;NA;0.009345794;0;0.009345794;0;0.280373832;0.23364486;0.093457944
Ul-no-cont-2-4;0.062893082;NA;NA;0.220125786;NA;NA;0.389937107;NA;NA;NA;0.314465409;0;0.012578616
Ul-no-cont-3-4;0.167938931;NA;NA;0.27480916;NA;NA;0.251908397;NA;NA;NA;0.290076336;0.007633588;0.007633588
Ul-no-cont-4-5;0;NA;NA;0.555555556;NA;NA;0.290598291;NA;NA;NA;0.136752137;0;0.017094017
Ul-no-cont-5-5;0.147928994;NA;NA;0.071005917;NA;NA;0.355029586;NA;NA;NA;0.414201183;0.01183432;0
